reading_order_position,book,total_tokens,unique_lemmas_in_book,new_lemmas_at_this_step,cumulative_vocabulary,percent_of_total_vocabulary,percent_of_book_already_known
1,Isaiah,15325,2391,2391,2391,28.47,0.0
2,Malachi,802,295,30,2421,28.82,89.83
3,Obadiah,264,155,19,2440,29.05,87.74
4,Haggai,555,192,26,2466,29.36,86.46
5,Jonah,622,232,31,2497,29.73,86.64
6,Joel,874,378,51,2548,30.34,86.51
7,Zephaniah,711,349,48,2596,30.91,86.25
8,Nahum,505,328,48,2644,31.48,85.37
9,Habakkuk,601,373,59,2703,32.18,84.18
10,Amos,1864,617,95,2798,33.31,84.6
11,Micah,1265,549,80,2878,34.27,85.43
12,Hosea,2097,698,107,2985,35.54,84.67
13,Zechariah,2868,697,101,3086,36.74,85.51
14,Lamentations,1352,541,74,3160,37.62,86.32
15,Ruth,1148,305,52,3212,38.24,82.95
16,Ecclesiastes,2721,541,100,3312,39.43,81.52
17,Proverbs,5928,1244,239,3551,42.28,80.79
18,Psalms,16749,2083,417,3968,47.24,79.98
19,Job,7109,1583,256,4224,50.29,83.83
20,Song of Solomon,1090,467,77,4301,51.21,83.51
21,Deuteronomy,12888,1399,229,4530,53.93,83.63
22,Jeremiah,20078,1847,288,4818,57.36,84.41
23,2 Kings,11361,1212,156,4974,59.22,87.13
24,1 Samuel,12128,1216,169,5143,61.23,86.1
25,1 Kings,12063,1249,169,5312,63.25,86.47
26,2 Chronicles,12284,1354,163,5475,65.19,87.96
27,Exodus,15206,1377,183,5658,67.37,86.71
28,Leviticus,10860,933,92,5750,68.46,90.14
29,2 Samuel,10083,1254,160,5910,70.37,87.24
30,Judges,8958,1167,139,6049,72.02,88.09
31,Ezekiel,17099,1656,219,6268,74.63,86.78
32,Esther,2828,454,78,6346,75.56,82.82
33,Numbers,14806,1397,244,6590,78.46,82.53
34,Genesis,18551,1736,280,6870,81.8,83.87
35,Joshua,9096,1111,186,7056,84.01,83.26
36,Nehemiah,4802,1040,205,7261,86.45,80.29
37,1 Chronicles,9588,1883,413,7674,91.37,78.07
38,Ezra,3425,944,317,7991,95.14,66.42
39,Daniel,5439,1084,408,8399,100.0,62.36
